XP,YP,ZP,PID
762922.85693359,9252009.19689941,3730,363
762923.22961426,9252058.97845459,3710,364
762923.51989746,9252034.07836914,3720,365
762923.78918457,9252244.48156738,3730,366
762923.86010742,9252263.12731934,3730,367
762924.04553223,9252001.13262939,3740,368
762924.05529785,9252215.50354004,3710,369
762924.08190918,9252063.56854248,3700,370
762924.15039063,9251994.20544434,3750.006,371
762924.17407227,9252234.22735596,3710,372
762924.23156738,9252198.29858398,3700,373
762924.44067383,9252069.12597656,3700,374
762924.45092773,9252136.67358398,3700,375
762924.45556641,9252026.37713623,3730,376
762924.55883789,9252191.67156982,3700,377
762924.70336914,9252278.06268311,3750.006,378
762924.83056641,9252204.87988281,3700,379
762924.97070313,9252210.68280029,3700,380
762925.03369141,9252112.9677124,3690,381
762925.36669922,9252104.81958008,3690,382
762925.53283691,9252120.37939453,3690,383
762925.54406738,9252184.42333984,3700,384
762925.6081543,9252060.22064209,3700,385
762925.89624023,9252035.31665039,3710,386
762925.97729492,9252145.87664795,3700,387
762926.12329102,9252243.16558838,3720,388
762926.19555664,9252272.18792725,3740,389
762926.2520752,9252095.47161865,3690,390
762926.41052246,9252002.39239502,3730,391
762926.46447754,9252214.31665039,3700,392
762926.54309082,9252053.38598633,3710,393
762926.56262207,9252178.82122803,3700,394
762926.62426758,9252211.99145508,3700,395
762926.84350586,9252027.5927124,3720,396
762926.98181152,9252153.89831543,3700,397
762927.14379883,9252127.51806641,3690,398
762927.16479492,9251988.75476074,3750.006,399
762927.25488281,9252173.20013428,3700,400
762927.40966797,9252084.46032715,3690,401
762927.50341797,9252160.97106934,3700,402
762927.55700684,9252221.54199219,3710,403
762927.58154297,9252167.32757568,3700,404
762927.71435547,9252019.93255615,3730,405
762927.85302734,9252251.66540527,3730,406
762927.94335938,9251993.95666504,3740,407
762928.45727539,9252241.84960938,3710,408
762928.55419922,9252285.60461426,3750.006,409
762928.56005859,9252071.32208252,3690,410
762928.56542969,9252062.19067383,3700,411
762928.57177734,9252270.93969727,3730,412
762928.86657715,9252054.72106934,3700,413
762929.23144531,9252028.80828857,3710,414
762929.71972656,9252187.46130371,3690,415
762929.80285645,9252194.94342041,3690,416
762929.88146973,9252220.20904541,3700,417
762929.89904785,9252178.35119629,3690,418
762930.00244141,9251983.84143066,3750.006,419
762930.10375977,9252021.14501953,3720,420
762930.14660645,9252134.84735107,3690,421
762930.1784668,9252250.33422852,3720,422
762930.22729492,9252201.02575684,3690,423
762930.28479004,9251995.25994873,3730,424
762930.46044922,9252046.35296631,3710,425
762930.76782227,9252168.78594971,3690,426
762931.03369141,9252013.41375732,3730,427
762931.07165527,9252205.93566895,3690,428
762931.14404297,9252283.13140869,3740,429
762931.44970703,9252144.26287842,3690,430
762931.49377441,9252160.44256592,3690,431
762931.78027344,9252258.44573975,3730,432
762931.80993652,9252152.53149414,3690,433
762932.18579102,9252229.70483398,3710,434
762932.28173828,9251986.34857178,3740,435
762932.36547852,9252292.69519043,3750.006,436
762932.41467285,9252209.90093994,3690,437
762932.49328613,9252022.35748291,3710,438
762932.49975586,9252064.69787598,3690,439
762932.50390625,9252249.00305176,3710,440
762932.73388672,9251979.33862305,3750.006,441
762932.81506348,9252047.63226318,3700,442
762932.83666992,9252109.8526001,3690,443
762933.28942871,9252055.25891113,3700,444
762933.4152832,9252014.64190674,3720,445
762933.56103516,9252281.97320557,3730,446
762933.58447266,9252099.43737793,3690,447
762933.70495605,9252092.63885498,3690,448
762934.05505371,9252039.56829834,3710,449
762934.0838623,9252078.57556152,3690,450
762934.08703613,9252257.08221436,3720,451
762934.32092285,9252085.12030029,3690,452
762934.33520508,9252213.14935303,3690,453
762934.41845703,9252083.9465332,3690,454
762934.51916504,9252228.38763428,3700,455
762934.53063965,9252006.7177124,3730,456
762934.59387207,9251987.70300293,3730,457
762935.16027832,9252291.05639648,3740,458
762935.21008301,9252116.75292969,3690,459
762935.43041992,9251975.11914063,3750.006,460
762935.71557617,9252075.13677979,3690,461
762935.79675293,9252015.87005615,3710,462
762936.3371582,9252299.48614502,3750.006,463
762936.39379883,9252255.71868896,3710,464
762936.43139648,9252040.80657959,3700,465
762936.47131348,9252237.33117676,3710,466
762936.73059082,9252266.65380859,3730,467
762936.89562988,9252007.97747803,3720,468
762937.09680176,9252057.95239258,3690,469
762937.17333984,9251978.21685791,3740,470
762937.43029785,9252032.98193359,3710,471
762937.52001953,9252289.78509521,3730,472
762937.55603027,9252109.23657227,3680,473
762938.14916992,9252126.78112793,3690,474
762938.1628418,9251971.0559082,3750.006,475
762938.24462891,9252099.64581299,3680,476
762938.32373047,9251999.73468018,3730,477
762938.36462402,9252092.87078857,3680,478
762938.38684082,9252048.31433105,3700,479
762938.80541992,9252236.01519775,3700,480
762938.81274414,9252079.48699951,3680,481
762938.87890625,9252297.56207275,3740,482
762938.96826172,9252085.50384521,3680,483
762939.09362793,9252083.99493408,3680,484
762939.10681152,9252265.40557861,3720,485
762939.26062012,9252009.23724365,3710,486
762939.3338623,9252069.05310059,3690,487
762939.45251465,9251979.6262207,3730,488
762939.65466309,9252115.33807373,3680,489
762939.83483887,9252077.33288574,3680,490
762939.86206055,9252034.11199951,3700,491
762940.48840332,9252244.43243408,3710,492
762940.66516113,9252001.03796387,3720,493
762940.66943359,9252306.12890625,3750.006,494
762941.00195313,9251967.02191162,3750.006,495
762941.02661133,9252225.57641602,3690,496
762941.17041016,9252296.17169189,3730,497
762941.4831543,9252264.15734863,3710,498
762941.59130859,9252023.0423584,3710,499
762941.61706543,9252176.9921875,3690,500
762941.85961914,9252277.996521,3730,501
762942.12976074,9252051.09558105,3690,502
762942.1463623,9252183.03399658,3690,503
762942.2557373,9252188.10168457,3690,504
762942.41674805,9252303.06396484,3740,505
762942.44628906,9252135.1472168,3690,506
762942.46362305,9252168.61834717,3690,507
762942.49951172,9252125.04455566,3680,508
762942.53271484,9251992.35345459,3730,509
762942.72180176,9251969.48553467,3740,510
762942.81396484,9252243.10125732,3700,511
762942.92663574,9252159.74798584,3690,512
762943.0065918,9252002.34124756,3710,513
762943.23937988,9252200.18096924,3690,514
762943.26806641,9252071.56036377,3680,515
762943.5637207,9252154.01861572,3690,516
762943.63208008,9252041.34088135,3700,517
762943.71044922,9252062.63104248,3690,518
762944.01879883,9251962.89001465,3750.006,519
762944.1796875,9252144.83258057,3690,520
762944.27661133,9252276.83831787,3720,521
762944.31396484,9252251.03710938,3710,522
762944.63623047,9252301.5614624,3730,523
762944.67578125,9251967.11877441,3740,524
762944.84484863,9251993.70788574,3720,525
762944.89404297,9251971.06311035,3730,526
762945.13586426,9252210.57141113,3690,527
762945.3034668,9252014.63494873,3710,528
762945.56225586,9252312.77478027,3750.006,529
762945.62182617,9252285.42022705,3730,530
762945.87536621,9252024.88464355,3700,531
762945.93225098,9252308.00140381,3740,532
762946.54492188,9252249.54272461,3700,533
762946.69360352,9252275.68011475,3710,534
762946.71826172,9251968.85351563,3730,535
762946.75292969,9252133.32568359,3680,536
762946.85192871,9251964.62786865,3740,537
762946.9753418,9252133.98382568,3680,538
762947.15710449,9251995.06231689,3710,539
762947.27783203,9251984.465271,3730,540
762947.28430176,9251958.53302002,3750.006,541
762947.32995605,9252164.25421143,3680,542
762947.37304688,9252044.12475586,3690,543
762947.51782227,9252065.32452393,3680,544
762947.58007813,9252160.0479126,3680,545
762947.6730957,9252107.89764404,3680,546
762947.70336914,9252015.83337402,3700,547
762947.77856445,9252235.69506836,3690,548
762947.83642578,9252101.91888428,3680,549
762947.88659668,9252219.80187988,3690,550
762947.91625977,9252115.29907227,3680,551
762947.98156738,9252284.14892578,3720,552
762948.05187988,9252194.44207764,3683.63726807,553
762948.08886719,9252306.41052246,3730,554
762948.11645508,9252200.29638672,3684.20465088,555
762948.20959473,9252154.43243408,3680,556
762948.30847168,9252094.21044922,3680,557
762948.41271973,9252188.49951172,3682.94512939,558
762948.62255859,9252118.4744873,3680,559
762948.63146973,9252055.92669678,3690,560
762948.79931641,9252034.32196045,3700,561
762948.84631348,9251966.41760254,3730,562
762948.8704834,9252144.57397461,3680,563
762948.88232422,9252182.96459961,3682.26922607,564
762948.92773438,9252205.90661621,3684.67175293,565
762949.03857422,9252291.39776611,3730,566
762949.07995605,9252089.35314941,3680,567
762949.26733398,9251962.00726318,3740,568
762949.35351563,9252090.84655762,3677.11499023,569
