PID1,PID2,PID3,TRIANGLE,SURFACE,PIT,TOPO
144,3174,3175,711,1,1,1
3227,144,3175,712,1,1,1
3227,3175,105,713,1,1,1
105,3228,3227,714,1,1,1
106,146,3228,715,1,1,1
146,3121,147,716,1,1,1
146,106,3121,717,1,1,1
3176,147,3121,718,1,1,1
3176,3229,147,719,1,1,1
3229,107,3230,720,1,1,1
3229,3176,107,721,1,1,1
107,3231,3230,722,1,1,1
107,3232,3231,723,1,1,1
107,3177,3232,724,1,1,1
108,3232,3177,725,1,1,1
108,3233,3232,726,1,1,1
109,3233,108,727,1,1,1
109,3234,3233,728,1,1,1
110,3234,109,729,1,1,1
110,3235,3234,730,1,1,1
3235,3178,3236,731,1,1,1
3235,110,3178,732,1,1,1
3307,3236,3178,733,1,1,1
3307,3178,69,734,1,1,1
3237,3307,69,735,1,1,1
3237,69,3179,736,1,1,1
3179,3309,3237,737,1,1,1
3179,3311,3310,738,1,1,1
3180,3311,3179,739,1,1,1
3180,3124,3312,740,1,1,1
3125,3312,3124,741,1,1,1
3125,197,3312,742,1,1,1
197,3125,3313,743,1,1,1
111,3238,3126,744,1,1,1
3181,198,112,745,1,1,1
3181,3128,198,746,1,1,1
113,198,3128,747,1,1,1
113,3128,70,748,1,1,1
70,3316,113,749,1,1,1
3317,3316,70,750,1,1,1
3317,70,3239,751,1,1,1
199,3239,71,752,1,1,1
199,71,200,753,1,1,1
3240,114,3182,754,1,1,1
3240,3182,72,755,1,1,1
3241,3240,72,756,1,1,1
3241,72,3183,757,1,1,1
3242,3241,3183,758,1,1,1
3243,3184,3185,759,1,1,1
3185,3244,3243,760,1,1,1
3185,3186,3244,761,1,1,1
115,3244,3186,762,1,1,1
115,3245,3244,763,1,1,1
115,3187,3245,764,1,1,1
115,3186,3187,765,1,1,1
116,3245,3187,766,1,1,1
116,3246,3245,767,1,1,1
116,3188,3246,768,1,1,1
116,3187,3188,769,1,1,1
3246,3189,3247,770,1,1,1
3246,3188,3189,771,1,1,1
3247,3190,3248,772,1,1,1
3247,3189,3190,773,1,1,1
117,3248,3190,774,1,1,1
117,3249,3248,775,1,1,1
117,3191,3249,776,1,1,1
117,3190,3191,777,1,1,1
118,3249,3191,778,1,1,1
118,3250,3249,779,1,1,1
118,3192,3250,780,1,1,1
118,3191,3192,781,1,1,1
119,3250,3192,782,1,1,1
119,3251,3250,783,1,1,1
119,3193,3251,784,1,1,1
119,3192,3193,785,1,1,1
3194,3251,3193,786,1,1,1
3194,3252,3251,787,1,1,1
3195,3252,3194,788,1,1,1
3195,3253,3252,789,1,1,1
3196,3253,3195,790,1,1,1
3196,3254,3253,791,1,1,1
120,3254,3196,792,1,1,1
120,3255,3254,793,1,1,1
120,3197,3255,794,1,1,1
120,3196,3197,795,1,1,1
121,3255,3197,796,1,1,1
121,3256,3255,797,1,1,1
121,3198,3256,798,1,1,1
121,3197,3198,799,1,1,1
122,3256,3198,800,1,1,1
122,3257,3256,801,1,1,1
122,3199,3257,802,1,1,1
122,3198,3199,803,1,1,1
123,3257,3199,804,1,1,1
123,3258,3257,805,1,1,1
123,3200,3258,806,1,1,1
123,3199,3200,807,1,1,1
124,3258,3200,808,1,1,1
124,3259,3258,809,1,1,1
124,3201,3259,810,1,1,1
124,3200,3201,811,1,1,1
3202,3259,3201,812,1,1,1
3202,161,3259,813,1,1,1
85,161,3202,814,1,1,1
85,125,161,815,1,1,1
125,3203,3260,816,1,1,1
125,85,3203,817,1,1,1
126,3260,3203,818,1,1,1
126,3261,3260,819,1,1,1
126,3204,3261,820,1,1,1
126,3203,3204,821,1,1,1
127,3261,3204,822,1,1,1
127,3262,3261,823,1,1,1
127,3205,3262,824,1,1,1
127,3204,3205,825,1,1,1
3205,3263,3262,826,1,1,1
3205,3264,3263,827,1,1,1
3206,3265,3264,828,1,1,1
3206,3266,3265,829,1,1,1
3206,128,3266,830,1,1,1
3207,3208,215,831,1,1,1
3341,215,3208,832,1,1,1
3341,3208,3154,833,1,1,1
3154,88,3341,834,1,1,1
3267,3341,88,835,1,1,1
3209,3267,88,836,1,1,1
3209,3268,3267,837,1,1,1
3210,3268,3209,838,1,1,1
3210,3269,3268,839,1,1,1
129,3269,3210,840,1,1,1
129,3270,3269,841,1,1,1
